LATITUDE,LONGITUDE,,,,,
40.6982463,-73.9805437,,"[40.6982463,-73.9805437],",,,
40.8315353,-73.8767804,,"[40.8315353,-73.8767804],",,,
40.8759529,-73.9094157,,"[40.8759529,-73.9094157],",,,
40.8190162,-73.898911,,"[40.8190162,-73.898911],",,,
40.8617006,-73.8913807,,"[40.8617006,-73.8913807],",,,
40.6322943,-73.966775,,"[40.6322943,-73.966775],",,,
40.640237,-73.9059739,,"[40.640237,-73.9059739],",,,
40.7279455,-73.7523649,,"[40.7279455,-73.7523649],",,,
40.7305404,-73.9506483,,"[40.7305404,-73.9506483],",,,
40.6692193,-73.9386898,,"[40.6692193,-73.9386898],",,,
40.7914069,-73.9356781,,"[40.7914069,-73.9356781],",,,
40.8278679,-73.8235801,,"[40.8278679,-73.8235801],",,,
40.7591324,-73.9764073,,"[40.7591324,-73.9764073],",,,
40.7642306,-73.9829647,,"[40.7642306,-73.9829647],",,,
40.6832594,-73.8855094,,"[40.6832594,-73.8855094],",,,
40.7183692,-73.840558,,"[40.7183692,-73.840558],",,,
40.7239035,-73.820648,,"[40.7239035,-73.820648],",,,
40.7569079,-73.7676685,,"[40.7569079,-73.7676685],",,,
40.7447332,-73.9335895,,"[40.7447332,-73.9335895],",,,
40.7535224,-73.9344686,,"[40.7535224,-73.9344686],",,,
40.7584292,-73.9926328,,"[40.7584292,-73.9926328],",,,
40.7865943,-73.9683844,,"[40.7865943,-73.9683844],",,,
40.7518617,-73.9770343,,"[40.7518617,-73.9770343],",,,
40.7056704,-73.9214087,,"[40.7056704,-73.9214087],",,,
40.625712,-73.9295507,,"[40.625712,-73.9295507],",,,
40.684996,-74.0051777,,"[40.684996,-74.0051777],",,,
40.5992894,-73.936831,,"[40.5992894,-73.936831],",,,
40.6141449,-74.0066778,,"[40.6141449,-74.0066778],",,,
40.6167058,-74.0061269,,"[40.6167058,-74.0061269],",,,
40.7246024,-73.9371452,,"[40.7246024,-73.9371452],",,,
40.6326692,-74.0273093,,"[40.6326692,-74.0273093],",,,
40.6921563,-73.9852802,,"[40.6921563,-73.9852802],",,,
40.8612181,-73.9043672,,"[40.8612181,-73.9043672],",,,
40.861831,-73.8928519,,"[40.861831,-73.8928519],",,,
40.7101941,-73.7813721,,"[40.7101941,-73.7813721],",,,
40.6291986,-74.0316563,,"[40.6291986,-74.0316563],",,,
40.669735,-73.8084976,,"[40.669735,-73.8084976],",,,
40.7048452,-73.8921304,,"[40.7048452,-73.8921304],",,,
40.7256184,-73.8510251,,"[40.7256184,-73.8510251],",,,
40.7560323,-73.7998575,,"[40.7560323,-73.7998575],",,,
40.7818402,-73.9792844,,"[40.7818402,-73.9792844],",,,
40.7768989,-73.9754586,,"[40.7768989,-73.9754586],",,,
40.7200441,-73.999062,,"[40.7200441,-73.999062],",,,
40.7252573,-73.9797746,,"[40.7252573,-73.9797746],",,,
40.7294318,-73.978027,,"[40.7294318,-73.978027],",,,
40.6360609,-73.9268195,,"[40.6360609,-73.9268195],",,,
40.6050689,-73.9791267,,"[40.6050689,-73.9791267],",,,
40.8338628,-73.8767797,,"[40.8338628,-73.8767797],",,,
40.8810763,-73.8784859,,"[40.8810763,-73.8784859],",,,
40.8109488,-73.9271438,,"[40.8109488,-73.9271438],",,,
40.7676018,-73.8853835,,"[40.7676018,-73.8853835],",,,
40.6936625,-73.8521639,,"[40.6936625,-73.8521639],",,,
40.7368761,-73.9356361,,"[40.7368761,-73.9356361],",,,
40.7495397,-73.9774357,,"[40.7495397,-73.9774357],",,,
40.6500815,-73.9610074,,"[40.6500815,-73.9610074],",,,
40.8854493,-73.8291703,,"[40.8854493,-73.8291703],",,,
40.7688772,-73.9489716,,"[40.7688772,-73.9489716],",,,
40.7365231,-73.9283288,,"[40.7365231,-73.9283288],",,,
40.7060748,-73.727474,,"[40.7060748,-73.727474],",,,
40.6326785,-74.0898074,,"[40.6326785,-74.0898074],",,,
40.7057922,-73.809559,,"[40.7057922,-73.809559],",,,
40.8146607,-73.9381765,,"[40.8146607,-73.9381765],",,,
40.7761473,-73.9580415,,"[40.7761473,-73.9580415],",,,
40.7469199,-73.9712291,,"[40.7469199,-73.9712291],",,,
40.7271812,-73.978771,,"[40.7271812,-73.978771],",,,
40.5762433,-73.9595134,,"[40.5762433,-73.9595134],",,,
40.591994,-73.9373744,,"[40.591994,-73.9373744],",,,
40.759625,-73.9700794,,"[40.759625,-73.9700794],",,,
40.7137447,-73.9940914,,"[40.7137447,-73.9940914],",,,
40.6339615,-74.0147538,,"[40.6339615,-74.0147538],",,,
40.6472977,-73.9802919,,"[40.6472977,-73.9802919],",,,
40.8296875,-73.8252953,,"[40.8296875,-73.8252953],",,,
